                          length,                      num_threads,              desired bucket size,          final bucket size coeff,            total length schedule,           buckets count schedule,                allocation preset,                algorithm version,                      bucket type,                      time (mean),                       time (std)
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          18.1636,                         0.956793
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          10.2862,                        0.0983297
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          4.04708,                         0.116683
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,            fixed size (lockfree),                          15.2984,                         0.364592
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          18.3541,                           1.2375
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          10.2927,                         0.378342
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          3.79764,                        0.0432863
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,            fixed size (lockfree),                          13.4812,                         0.623387
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          17.6882,                         0.754927
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          10.2897,                         0.153816
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                          3.82965,                        0.0791454
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                2,            fixed size (lockfree),                          13.8164,                         0.392548
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          17.9648,                          1.34161
                          131072,                                4,                           131072,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          10.1513,                         0.272596
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                            3.446,                         0.272517
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          4.69419,                         0.258358
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          5.13416,                         0.368956
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          3.31814,                         0.188774
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          4.75858,                         0.198632
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          5.15124,                         0.389143
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                          3.31809,                         0.278045
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          4.75869,                         0.145476
